geo_id,name,state,population,provider_count,provider_density,nearest_distance_miles,avg_distance_top3_miles,drive_time_minutes,wait_time_days,density_score,distance_score,drivetime_score,waittime_score,dearth_score,dearth_label
30105,Valley County,MT,7434,0,0.0,194.01706101998334,153.97638809749753,453.875,14.0,100.0,100.0,100.0,50.0,100.0,Severe Shortage
06027,Inyo County,CA,18485,0,0.0,84.1750179751016,86.81496085476033,372.48499999999996,14.0,100.0,97.2972972972973,99.96782496782497,50.0,99.98712998712999,Severe Shortage
08053,Hinsdale County,CO,747,0,0.0,29.518850087010826,30.42851045959006,347.4633333333333,14.0,100.0,68.56499356499357,99.93564993564993,50.0,99.97425997425998,Severe Shortage
36041,Hamilton County,NY,5082,0,0.0,37.05944316964719,46.30631638246735,335.0866666666667,14.0,100.0,78.66795366795367,99.9034749034749,50.0,99.96138996138995,Severe Shortage
16037,Custer County,ID,4597,0,0.0,128.4665140359775,129.49832081227916,325.995,14.0,100.0,99.7104247104247,99.87129987129987,50.0,99.94851994851996,Severe Shortage
41025,Harney County,OR,7402,0,0.0,119.9378378106988,119.9378378106988,317.76,14.0,100.0,99.5173745173745,99.83912483912484,50.0,99.93564993564993,Severe Shortage
27031,Cook County,MN,5571,0,0.0,85.75054428676974,95.12937479080038,311.89166666666665,14.0,100.0,97.52252252252252,99.8069498069498,50.0,99.92277992277992,Severe Shortage
32033,White Pine County,NV,8534,0,0.0,128.74367671134752,135.3745882798373,301.9533333333333,14.0,100.0,99.74259974259975,99.77477477477478,50.0,99.90990990990991,Severe Shortage
56043,Washakie County,WY,7662,0,0.0,56.09820907209166,69.47611712088185,299.2083333333333,14.0,100.0,91.37709137709138,99.74259974259975,50.0,99.8970398970399,Severe Shortage
09180,Southeastern Connecticut Planning Region,CT,282602,0,0.0,34.20545454221607,31.066986214139547,298.60999999999996,14.0,100.0,75.70785070785071,99.7104247104247,50.0,99.88416988416989,Severe Shortage
32023,Nye County,NV,55990,0,0.0,110.72373900091343,118.28491591454674,279.4216666666667,14.0,100.0,99.1956241956242,99.67824967824967,50.0,99.87129987129987,Severe Shortage
46117,Stanley County,SD,3015,0,0.0,165.83102445389414,165.83102445389414,271.84666666666664,14.0,100.0,99.93564993564993,99.64607464607465,50.0,99.85842985842987,Severe Shortage
30033,Garfield County,MT,1181,0,0.0,117.87866129679249,126.91582508267157,270.7866666666667,14.0,100.0,99.42084942084942,99.61389961389962,50.0,99.84555984555985,Severe Shortage
08051,Gunnison County,CO,17310,0,0.0,40.109404545310504,39.94729300534174,270.5466666666667,14.0,100.0,81.72458172458172,99.58172458172459,50.0,99.83268983268984,Severe Shortage
41037,Lake County,OR,8194,0,0.0,89.56169889248389,89.56169889248389,266.49333333333334,14.0,100.0,97.90862290862292,99.54954954954955,50.0,99.81981981981983,Severe Shortage
32013,Humboldt County,NV,17116,0,0.0,124.51185315689663,132.6271224024072,264.77000000000004,14.0,100.0,99.61389961389962,99.5173745173745,50.0,99.8069498069498,Severe Shortage
16059,Lemhi County,ID,8397,0,0.0,88.29413151079325,109.21985237096162,260.01,14.0,100.0,97.8120978120978,99.48519948519949,50.0,99.7940797940798,Severe Shortage
16085,Valley County,ID,12777,0,0.0,86.24471899732188,86.24471899732187,257.7366666666667,14.0,100.0,97.55469755469755,99.45302445302445,50.0,99.78120978120978,Severe Shortage
08079,Mineral County,CO,933,0,0.0,44.9565390682143,48.97989534303711,255.605,14.0,100.0,85.87516087516087,99.42084942084942,50.0,99.76833976833977,Severe Shortage
55029,Door County,WI,30512,0,0.0,47.20030486655399,55.16053498682276,252.54666666666665,14.0,100.0,87.25868725868726,99.38867438867439,50.0,99.75546975546976,Severe Shortage
56023,Lincoln County,WY,21000,0,0.0,80.43288063793233,75.69649982410802,251.28,14.0,100.0,96.68597168597168,99.35649935649936,50.0,99.74259974259974,Severe Shortage
04011,Greenlee County,AZ,9410,0,0.0,64.25446938929002,79.15063594764314,245.32000000000002,14.0,100.0,93.95109395109395,99.32432432432432,50.0,99.72972972972974,Severe Shortage
30017,Custer County,MT,11964,0,0.0,119.27745461031232,110.97051300193868,245.22,14.0,100.0,99.48519948519949,99.29214929214929,50.0,99.71685971685972,Severe Shortage
46041,Dewey County,SD,5322,0,0.0,115.32167374313694,115.32167374313694,242.405,14.0,100.0,99.32432432432432,99.25997425997426,50.0,99.7039897039897,Severe Shortage
56007,Carbon County,WY,14250,0,0.0,77.4770279007792,83.56328261631063,241.075,14.0,100.0,96.36422136422136,99.22779922779922,50.0,99.6911196911197,Severe Shortage
48377,Presidio County,TX,5686,0,0.0,164.19593656573502,168.54219423098084,240.46166666666667,14.0,100.0,99.9034749034749,99.1956241956242,50.0,99.67824967824968,Severe Shortage
48243,Jeff Davis County,TX,1778,0,0.0,137.01237876345584,137.78074134921977,239.06833333333333,14.0,100.0,99.8069498069498,99.16344916344917,50.0,99.66537966537967,Severe Shortage
56013,Fremont County,WY,39721,0,0.0,105.67932902289759,113.35240896521763,238.655,14.0,100.0,99.06692406692407,99.13127413127413,50.0,99.65250965250965,Severe Shortage
46105,Perkins County,SD,2832,0,0.0,100.69343461779364,100.69343461779364,238.405,14.0,100.0,98.74517374517374,99.09909909909909,50.0,99.63963963963964,Severe Shortage
30025,Fallon County,MT,2946,0,0.0,135.98534773825295,137.9017093396444,237.79500000000002,14.0,100.0,99.77477477477478,99.06692406692407,50.0,99.62676962676963,Severe Shortage
