geo_id,name,state,population,provider_count,provider_density,nearest_distance_miles,avg_distance_top3_miles,drive_time_minutes,wait_time_days,density_score,distance_score,drivetime_score,waittime_score,dearth_score,dearth_label
21109,Jackson County,KY,13358,0,0.0,34.74796683121031,33.11342509364088,76.99166666666666,14.0,100.0,76.31917631917632,77.67052767052766,50.0,91.06821106821107,Severe Shortage
47139,Polk County,TN,18338,0,0.0,23.43714842961711,22.796176077333982,76.89666666666668,14.0,100.0,56.30630630630631,77.63835263835264,50.0,91.05534105534106,Severe Shortage
13003,Atkinson County,GA,8435,0,0.0,40.36804938164713,40.36804938164713,76.80166666666668,14.0,100.0,81.98198198198197,77.60617760617761,50.0,91.04247104247105,Severe Shortage
53037,Kittitas County,WA,48172,0,0.0,26.32740102415276,26.32740102415276,76.78666666666666,14.0,100.0,63.384813384813384,77.57400257400258,50.0,91.02960102960103,Severe Shortage
36101,Steuben County,NY,92015,0,0.0,40.913820647799724,37.47021563992485,76.74,14.0,100.0,82.36808236808237,77.54182754182754,50.0,91.01673101673101,Severe Shortage
30097,Sweet Grass County,MT,3757,0,0.0,47.18018434205326,47.18018434205326,76.62666666666668,14.0,100.0,87.25868725868726,77.47747747747748,50.0,90.990990990991,Severe Shortage
18131,Pulaski County,IN,12421,0,0.0,32.71951004135857,38.23153391055961,76.62333333333332,14.0,100.0,73.51994851994851,77.44530244530245,50.0,90.97812097812098,Severe Shortage
48357,Ochiltree County,TX,9717,0,0.0,56.65410870634546,82.52151649545777,76.54333333333334,14.0,100.0,91.53796653796654,77.41312741312741,50.0,90.96525096525096,Severe Shortage
54023,Grant County,WV,10971,0,0.0,27.289815416878973,35.25859270957453,76.53166666666667,14.0,100.0,64.6074646074646,77.38095238095238,50.0,90.95238095238095,Severe Shortage
20065,Graham County,KS,2370,0,0.0,44.06842053433084,44.06842053433084,76.48833333333333,14.0,100.0,85.26383526383526,77.34877734877735,50.0,90.93951093951094,Severe Shortage
