geo_id,name,state,population,provider_count,provider_density,nearest_distance_miles,avg_distance_top3_miles,drive_time_minutes,wait_time_days,density_score,distance_score,drivetime_score,waittime_score,dearth_score,dearth_label
08053,Hinsdale County,CO,747,0,0.0,29.518850087010826,30.42851045959006,347.4633333333333,14.0,100.0,84.33075933075934,100.0,50.0,100.0,Severe Shortage
30019,Daniels County,MT,1625,0,0.0,73.71875838904148,73.71875838904148,341.09000000000003,14.0,100.0,99.1956241956242,99.96782496782497,50.0,99.98712998712999,Severe Shortage
36041,Hamilton County,NY,5082,0,0.0,37.05944316964719,37.05944316964719,335.0866666666667,14.0,100.0,90.31531531531532,99.93564993564993,50.0,99.97425997425998,Severe Shortage
16049,Idaho County,ID,17912,0,0.0,69.11901081831684,69.11901081831684,328.4316666666667,14.0,100.0,98.71299871299871,99.9034749034749,50.0,99.96138996138995,Severe Shortage
30033,Garfield County,MT,1181,0,0.0,60.39798467950216,60.397984679502166,324.655,14.0,100.0,97.71557271557272,99.87129987129987,50.0,99.94851994851996,Severe Shortage
56043,Washakie County,WY,7662,0,0.0,56.09820907209166,65.86975627111943,299.2083333333333,14.0,100.0,96.97554697554698,99.83912483912484,50.0,99.93564993564993,Severe Shortage
30071,Phillips County,MT,4214,0,0.0,52.87408842011632,52.87408842011632,293.43833333333333,14.0,100.0,96.52509652509652,99.77477477477478,50.0,99.90990990990991,Severe Shortage
41037,Lake County,OR,8194,0,0.0,89.56169889248389,89.56169889248389,266.49333333333334,14.0,100.0,99.87129987129987,99.74259974259975,50.0,99.8970398970399,Severe Shortage
48261,Kenedy County,TX,330,0,0.0,37.9501303269042,39.959434066080924,257.58,14.0,100.0,90.60489060489061,99.7104247104247,50.0,99.88416988416989,Severe Shortage
48109,Culberson County,TX,2254,0,0.0,60.20105895911989,60.201058959119884,257.47833333333335,14.0,100.0,97.68339768339769,99.67824967824967,50.0,99.87129987129987,Severe Shortage
08079,Mineral County,CO,933,0,0.0,44.9565390682143,44.956539068214305,255.605,14.0,100.0,94.17631917631918,99.64607464607465,50.0,99.85842985842987,Severe Shortage
27031,Cook County,MN,5571,0,0.0,86.6481218366784,86.6481218366784,253.77166666666665,14.0,100.0,99.77477477477478,99.61389961389962,50.0,99.84555984555985,Severe Shortage
09130,Lower Connecticut River Valley Planning Region,CT,177540,0,0.0,34.31656646913021,34.712849305079516,242.62333333333333,14.0,100.0,88.8030888030888,99.54954954954955,50.0,99.81981981981983,Severe Shortage
41063,Wallowa County,OR,7522,0,0.0,47.14472319123368,47.14472319123368,237.54500000000002,14.0,100.0,94.81981981981981,99.5173745173745,50.0,99.8069498069498,Severe Shortage
16085,Valley County,ID,12777,0,0.0,77.17656213470119,83.22200004311499,234.36666666666667,14.0,100.0,99.38867438867439,99.48519948519949,50.0,99.7940797940798,Severe Shortage
35003,Catron County,NM,3795,0,0.0,81.20148500281482,85.56008970583594,232.585,14.0,100.0,99.54954954954955,99.45302445302445,50.0,99.78120978120978,Severe Shortage
49027,Millard County,UT,13572,0,0.0,81.94628680063877,82.62574580896516,228.44,14.0,100.0,99.64607464607465,99.38867438867439,50.0,99.75546975546976,Severe Shortage
46137,Ziebach County,SD,2418,0,0.0,73.76036306822051,73.76036306822051,216.415,14.0,100.0,99.22779922779922,99.32432432432432,50.0,99.72972972972974,Severe Shortage
46031,Corson County,SD,3747,0,0.0,81.33728706501424,81.33728706501424,208.415,14.0,100.0,99.58172458172459,99.29214929214929,50.0,99.71685971685972,Severe Shortage
46055,Haakon County,SD,1834,0,0.0,78.6833775224937,68.33969895554907,202.775,14.0,100.0,99.48519948519949,99.25997425997426,50.0,99.7039897039897,Severe Shortage
31149,Rock County,NE,1241,0,0.0,99.5678761620043,99.56787616200431,202.60666666666665,14.0,100.0,99.93564993564993,99.22779922779922,50.0,99.6911196911197,Severe Shortage
48443,Terrell County,TX,718,0,0.0,76.97298223696671,76.97298223696671,200.21166666666667,14.0,100.0,99.35649935649936,99.1956241956242,50.0,99.67824967824968,Severe Shortage
56023,Lincoln County,WY,21000,0,0.0,29.79335090649583,57.282740323455585,193.26666666666668,14.0,100.0,84.55598455598455,99.13127413127413,50.0,99.65250965250965,Severe Shortage
30027,Fergus County,MT,11862,0,0.0,98.24777677809537,102.46150830641132,192.74166666666667,14.0,100.0,99.9034749034749,99.09909909909909,50.0,99.63963963963964,Severe Shortage
46102,Oglala Lakota County,SD,13360,0,0.0,63.15294649772578,63.15294649772577,190.775,14.0,100.0,98.03732303732303,99.03474903474904,50.0,99.61389961389962,Severe Shortage
30059,Meagher County,MT,2065,0,0.0,51.78078764695465,51.78078764695465,190.0366666666667,14.0,100.0,96.23552123552123,99.00257400257401,50.0,99.60102960102961,Severe Shortage
53019,Ferry County,WA,7543,0,0.0,42.40482992248996,40.051760080583755,188.71,14.0,100.0,93.01801801801803,98.93822393822393,50.0,99.57528957528957,Severe Shortage
46105,Perkins County,SD,2832,0,0.0,99.89832122489344,99.89832122489344,183.85833333333332,14.0,100.0,99.96782496782497,98.87387387387388,50.0,99.54954954954955,Severe Shortage
32033,White Pine County,NV,8534,0,0.0,107.45094995050766,121.6461011244009,181.18333333333334,14.0,100.0,100.0,98.84169884169884,50.0,99.53667953667954,Severe Shortage
32011,Eureka County,NV,1877,0,0.0,86.28375802780644,86.28375802780643,181.17666666666668,14.0,100.0,99.74259974259975,98.80952380952381,50.0,99.52380952380952,Severe Shortage
30069,Petroleum County,MT,525,0,0.0,87.23871946950923,93.03799019413755,180.55666666666667,14.0,100.0,99.83912483912484,98.77734877734878,50.0,99.51093951093952,Severe Shortage
56003,Big Horn County,WY,12084,0,0.0,41.4344770283781,51.064034686366256,179.37666666666667,14.0,100.0,92.43886743886743,98.74517374517374,50.0,99.4980694980695,Severe Shortage
04011,Greenlee County,AZ,9410,0,0.0,42.23578910471374,49.57534919957251,177.255,14.0,100.0,92.92149292149293,98.71299871299871,50.0,99.48519948519949,Severe Shortage
09170,South Central Connecticut Planning Region,CT,576718,0,0.0,25.983304995140866,25.983304995140866,176.29,14.0,100.0,79.6975546975547,98.68082368082368,50.0,99.47232947232948,Severe Shortage
16037,Custer County,ID,4597,0,0.0,40.56658969333392,61.55905775344758,173.73833333333332,14.0,100.0,91.8918918918919,98.61647361647363,50.0,99.44658944658946,Severe Shortage
32017,Lincoln County,NV,4345,0,0.0,70.70963317618403,70.70963317618403,173.54166666666666,14.0,100.0,98.90604890604891,98.58429858429858,50.0,99.43371943371943,Severe Shortage
35021,Harding County,NM,635,0,0.0,68.77085033521817,68.77085033521817,172.92999999999998,14.0,100.0,98.68082368082368,98.55212355212355,50.0,99.42084942084942,Severe Shortage
08113,San Miguel County,CO,7819,0,0.0,35.224930564100816,41.42996243107319,172.11,14.0,100.0,89.1891891891892,98.51994851994851,50.0,99.40797940797941,Severe Shortage
16073,Owyhee County,ID,12748,0,0.0,36.7691211055588,57.11077345531709,170.95666666666665,14.0,100.0,89.99356499356499,98.4877734877735,50.0,99.3951093951094,Severe Shortage
56027,Niobrara County,WY,2301,0,0.0,46.83937936776567,46.83937936776567,166.22333333333333,14.0,100.0,94.72329472329473,98.45559845559846,50.0,99.38223938223939,Severe Shortage
20007,Barber County,KS,4070,0,0.0,64.90113907554029,73.75332101259109,166.035,14.0,100.0,98.32689832689833,98.42342342342343,50.0,99.36936936936937,Severe Shortage
06063,Plumas County,CA,18834,0,0.0,39.70986261434501,41.23155344984487,164.42833333333334,14.0,100.0,91.53796653796654,98.39124839124838,50.0,99.35649935649936,Severe Shortage
53049,Pacific County,WA,24245,0,0.0,29.50519565541775,29.50519565541775,164.22833333333335,14.0,100.0,84.2985842985843,98.35907335907336,50.0,99.34362934362935,Severe Shortage
56019,Johnson County,WY,8803,0,0.0,48.08852834000274,53.7158493798783,163.265,14.0,100.0,95.20592020592021,98.32689832689833,50.0,99.33075933075934,Severe Shortage
16003,Adams County,ID,4998,0,0.0,64.94944701281892,62.34727897917366,163.23999999999998,14.0,100.0,98.39124839124838,98.2947232947233,50.0,99.31788931788932,Severe Shortage
08033,Dolores County,CO,2467,0,0.0,31.617495455205244,31.617495455205244,162.92166666666665,14.0,100.0,86.51866151866152,98.26254826254826,50.0,99.3050193050193,Severe Shortage
48105,Crockett County,TX,2799,0,0.0,73.80757610995812,73.80757610995812,162.20666666666665,14.0,100.0,99.25997425997426,98.23037323037323,50.0,99.2921492921493,Severe Shortage
27077,Lake of the Woods County,MN,3797,0,0.0,86.95397154139586,86.95397154139586,161.97333333333333,14.0,100.0,99.8069498069498,98.1981981981982,50.0,99.27927927927928,Severe Shortage
16035,Clearwater County,ID,9151,0,0.0,58.40505761572446,66.91135212371324,161.27833333333334,14.0,100.0,97.45817245817246,98.16602316602317,50.0,99.26640926640927,Severe Shortage
20039,Decatur County,KS,2716,0,0.0,84.96857050278375,84.76806168745988,160.38833333333332,14.0,100.0,99.7104247104247,98.13384813384813,50.0,99.25353925353926,Severe Shortage
06049,Modoc County,CA,8491,0,0.0,72.16835649514708,78.50575745455694,159.05,14.0,100.0,99.09909909909909,98.1016731016731,50.0,99.24066924066923,Severe Shortage
41069,Wheeler County,OR,1456,0,0.0,71.35134884601142,71.35134884601142,157.50166666666667,14.0,100.0,99.00257400257401,98.03732303732303,50.0,99.21492921492921,Severe Shortage
49025,Kane County,UT,8525,0,0.0,48.64714649553233,75.48320341934168,157.23,14.0,100.0,95.39897039897039,98.005148005148,50.0,99.2020592020592,Severe Shortage
31069,Garden County,NE,1804,0,0.0,72.74773146364348,72.74773146364348,157.13833333333332,14.0,100.0,99.16344916344917,97.97297297297297,50.0,99.1891891891892,Severe Shortage
31015,Boyd County,NE,1700,0,0.0,70.37065485262903,70.37065485262903,156.85166666666666,14.0,100.0,98.84169884169884,97.94079794079794,50.0,99.17631917631917,Severe Shortage
32027,Pershing County,NV,6536,0,0.0,51.509164983900234,69.50696629064709,156.65166666666667,14.0,100.0,96.17117117117117,97.90862290862292,50.0,99.16344916344917,Severe Shortage
30011,Carter County,MT,1399,0,0.0,78.73232172847875,81.62419507810448,155.52666666666667,14.0,100.0,99.5173745173745,97.87644787644788,50.0,99.15057915057915,Severe Shortage
30051,Liberty County,MT,1934,0,0.0,84.7147259363155,67.05527649553441,154.4,14.0,100.0,99.67824967824967,97.8120978120978,50.0,99.12483912483913,Severe Shortage
48191,Hall County,TX,2828,0,0.0,75.61869155747077,73.60768595513275,150.95833333333334,14.0,100.0,99.32432432432432,97.74774774774775,50.0,99.0990990990991,Severe Shortage
41021,Gilliam County,OR,1971,0,0.0,59.20702760263835,59.207027602638355,150.73999999999998,14.0,100.0,97.58687258687259,97.71557271557272,50.0,99.08622908622908,Severe Shortage
49031,Piute County,UT,1534,0,0.0,25.04407714663154,50.86288743766182,149.61,14.0,100.0,78.21750321750322,97.68339768339769,50.0,99.07335907335909,Severe Shortage
08105,Rio Grande County,CO,11132,0,0.0,33.018481534716095,33.018481534716095,149.21166666666667,14.0,100.0,87.8056628056628,97.65122265122265,50.0,99.06048906048906,Severe Shortage
49017,Garfield County,UT,5290,0,0.0,55.70328204145178,77.25796923938799,146.18333333333334,14.0,100.0,96.94337194337194,97.55469755469755,50.0,99.02187902187902,Severe Shortage
49015,Emery County,UT,10161,0,0.0,36.29697922315981,41.28691256099188,145.96166666666667,14.0,100.0,89.76833976833977,97.52252252252252,50.0,99.00900900900902,Severe Shortage
16079,Shoshone County,ID,14074,0,0.0,43.119998383585816,43.119998383585816,145.25666666666666,14.0,100.0,93.37194337194336,97.49034749034749,50.0,98.996138996139,Severe Shortage
08073,Lincoln County,CO,5598,0,0.0,61.312415984142575,61.85754148461482,143.62,14.0,100.0,97.8120978120978,97.45817245817246,50.0,98.98326898326899,Severe Shortage
31103,Keya Paha County,NE,819,0,0.0,69.32327071265861,69.32327071265861,143.57333333333332,14.0,100.0,98.74517374517374,97.42599742599742,50.0,98.97039897039897,Severe Shortage
31161,Sheridan County,NE,4927,0,0.0,67.58215607160078,67.58215607160078,142.99833333333333,14.0,100.0,98.61647361647363,97.39382239382239,50.0,98.95752895752895,Severe Shortage
48275,Knox County,TX,3255,0,0.0,71.78768061494775,71.78768061494775,142.12333333333333,14.0,100.0,99.06692406692407,97.32947232947234,50.0,98.93178893178893,Severe Shortage
56045,Weston County,WY,6866,0,0.0,52.93214527851169,58.73008938714215,141.42833333333334,14.0,100.0,96.55727155727156,97.2972972972973,50.0,98.91891891891893,Severe Shortage
30057,Madison County,MT,9753,0,0.0,42.098458693209636,46.6152159206217,141.06666666666666,14.0,100.0,92.85714285714286,97.26512226512226,50.0,98.90604890604891,Severe Shortage
30075,Powder River County,MT,1734,0,0.0,60.46805474313694,60.46805474313694,140.785,14.0,100.0,97.74774774774775,97.23294723294723,50.0,98.89317889317888,Severe Shortage
46041,Dewey County,SD,5322,0,0.0,50.103991728888865,50.103991728888865,140.4633333333333,14.0,100.0,95.84942084942085,97.2007722007722,50.0,98.88030888030889,Severe Shortage
30101,Toole County,MT,5153,0,0.0,43.18728764741447,77.50208682639675,139.17666666666668,14.0,100.0,93.43629343629344,97.16859716859717,50.0,98.86743886743886,Severe Shortage
32009,Esmeralda County,NV,720,0,0.0,46.041078247051594,46.041078247051594,138.84666666666666,14.0,100.0,94.43371943371943,97.1042471042471,50.0,98.84169884169884,Severe Shortage
31017,Brown County,NE,2877,0,0.0,78.63281269302323,89.57886793635278,138.82166666666666,14.0,100.0,99.45302445302445,97.07207207207207,50.0,98.82882882882883,Severe Shortage
16025,Camas County,ID,1247,0,0.0,18.7357340246685,44.74669714860129,138.08666666666667,14.0,100.0,65.34749034749035,96.97554697554698,50.0,98.7902187902188,Severe Shortage
31115,Loup County,NE,582,0,0.0,71.13188441383424,79.29686511477998,136.90333333333334,14.0,100.0,98.93822393822393,96.91119691119691,50.0,98.76447876447877,Severe Shortage
20109,Logan County,KS,2694,0,0.0,64.5489367979296,64.5489367979296,136.0,14.0,100.0,98.2947232947233,96.87902187902188,50.0,98.75160875160876,Severe Shortage
20063,Gove County,KS,2658,0,0.0,63.474409642505634,63.474409642505634,135.85,14.0,100.0,98.13384813384813,96.84684684684684,50.0,98.73873873873873,Severe Shortage
41023,Grant County,OR,7093,0,0.0,63.06823111102067,65.43031269154022,135.81,14.0,100.0,97.97297297297297,96.81467181467181,50.0,98.72586872586874,Severe Shortage
09120,Greater Bridgeport Planning Region,CT,335666,0,0.0,17.598964174593313,17.598964174593313,135.60833333333332,14.0,100.0,62.35521235521235,96.78249678249678,50.0,98.71299871299871,Severe Shortage
30099,Teton County,MT,6444,0,0.0,66.10957672100986,61.17677228537786,135.27,14.0,100.0,98.45559845559846,96.75032175032176,50.0,98.70012870012872,Severe Shortage
46063,Harding County,SD,1325,0,0.0,81.90621729814708,81.82512073689422,134.73166666666665,14.0,100.0,99.61389961389962,96.71814671814671,50.0,98.68725868725869,Severe Shortage
16009,Benewah County,ID,10529,0,0.0,32.63747611582388,32.63747611582388,134.55166666666668,14.0,100.0,87.41956241956242,96.68597168597168,50.0,98.67438867438867,Severe Shortage
48243,Jeff Davis County,TX,1778,0,0.0,44.169131804696335,57.67418412664612,133.51000000000002,14.0,100.0,93.91891891891892,96.62162162162163,50.0,98.64864864864865,Severe Shortage
31031,Cherry County,NE,5558,0,0.0,47.71608173936521,81.82198068195036,133.225,14.0,100.0,95.14157014157014,96.5894465894466,50.0,98.63577863577865,Severe Shortage
48247,Jim Hogg County,TX,4583,0,0.0,49.398050889066326,53.89132121024975,133.05166666666668,14.0,100.0,95.62419562419564,96.55727155727156,50.0,98.62290862290862,Severe Shortage
30025,Fallon County,MT,2946,0,0.0,58.009198643561966,79.64921961647839,131.79166666666666,14.0,100.0,97.36164736164736,96.52509652509652,50.0,98.6100386100386,Severe Shortage
31049,Deuel County,NE,1892,0,0.0,67.54238715900307,73.04653135801634,131.775,14.0,100.0,98.58429858429858,96.4929214929215,50.0,98.5971685971686,Severe Shortage
49033,Rich County,UT,2752,0,0.0,26.467712252998123,29.621205183553503,131.495,14.0,100.0,80.3088803088803,96.46074646074646,50.0,98.58429858429858,Severe Shortage
32021,Mineral County,NV,4475,0,0.0,63.37310131326507,63.37310131326507,131.23166666666665,14.0,100.0,98.1016731016731,96.42857142857143,50.0,98.57142857142858,Severe Shortage
38071,Ramsey County,ND,11510,0,0.0,63.075040255850226,63.07504025585022,131.11666666666667,14.0,100.0,98.005148005148,96.3963963963964,50.0,98.55855855855856,Severe Shortage
46047,Fall River County,SD,7359,0,0.0,56.15973373428859,61.43603829750913,130.66,14.0,100.0,97.00772200772201,96.36422136422136,50.0,98.54568854568855,Severe Shortage
38051,McIntosh County,ND,2461,0,0.0,61.893291455298446,61.15428607100012,129.32,14.0,100.0,97.87644787644788,96.33204633204633,50.0,98.53281853281854,Severe Shortage
16015,Boise County,ID,8581,0,0.0,31.785189154143936,31.785189154143936,129.155,14.0,100.0,86.61518661518662,96.2998712998713,50.0,98.51994851994851,Severe Shortage
35019,Guadalupe County,NM,4385,0,0.0,47.107652371493906,59.53983477386175,128.78833333333333,14.0,100.0,94.78764478764478,96.23552123552123,50.0,98.4942084942085,Severe Shortage
46129,Walworth County,SD,5270,0,0.0,63.657212941292705,63.657212941292705,128.235,14.0,100.0,98.16602316602317,96.2033462033462,50.0,98.48133848133848,Severe Shortage
35033,Mora County,NM,4096,0,0.0,30.392602261386656,33.059494450265326,128.17166666666668,14.0,100.0,85.32818532818533,96.17117117117117,50.0,98.46846846846847,Severe Shortage
35011,De Baca County,NM,1657,0,0.0,48.1543484936185,48.1543484936185,128.17,14.0,100.0,95.23809523809523,96.13899613899613,50.0,98.45559845559845,Severe Shortage
35051,Sierra County,NM,11389,0,0.0,56.42816925306027,60.72136744031715,127.36666666666666,14.0,100.0,97.1042471042471,96.1068211068211,50.0,98.44272844272845,Severe Shortage
30085,Roosevelt County,MT,10197,0,0.0,62.804600963842326,62.804600963842326,127.25333333333333,14.0,100.0,97.94079794079794,96.07464607464607,50.0,98.42985842985843,Severe Shortage
30015,Chouteau County,MT,5880,0,0.0,52.25161208684306,59.53356534234738,127.00833333333334,14.0,100.0,96.2998712998713,96.04247104247105,50.0,98.41698841698843,Severe Shortage
30107,Wheatland County,MT,2058,0,0.0,71.71576883100525,71.71576883100525,126.74166666666666,14.0,100.0,99.03474903474904,96.01029601029602,50.0,98.4041184041184,Severe Shortage
46053,Gregory County,SD,4110,0,0.0,45.85432030046479,45.85432030046479,126.725,14.0,100.0,94.4015444015444,95.97812097812097,50.0,98.39124839124838,Severe Shortage
46021,Campbell County,SD,1342,0,0.0,78.51884389294369,78.51884389294369,125.96499999999999,14.0,100.0,99.42084942084942,95.91377091377092,50.0,98.36550836550836,Severe Shortage
38011,Bowman County,ND,2886,0,0.0,63.937196357699435,63.937196357699435,125.65166666666667,14.0,100.0,98.1981981981982,95.88159588159589,50.0,98.35263835263837,Severe Shortage
38085,Sioux County,ND,3713,0,0.0,51.642956198944916,51.642956198944916,124.26666666666667,14.0,100.0,96.2033462033462,95.81724581724582,50.0,98.32689832689833,Severe Shortage
35037,Quay County,NM,8403,0,0.0,45.015500848882155,45.01550084888216,124.25333333333333,14.0,100.0,94.20849420849422,95.78507078507079,50.0,98.31402831402832,Severe Shortage
